,Add_to_Cart,View_Items,View_Items_quantity,cancelorder,clearcart,deferorder,home,inventory,login,logout,purchasecart,remove,sellinventory,shoppingcart,$
Add_to_Cart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
View_Items,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
View_Items_quantity,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
cancelorder,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(3524.00 362.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
clearcart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
deferorder,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
home,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(4001.00 398.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
inventory,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0178; norm(2003.00 191.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.4822; norm(1999.00 200.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.5; norm(2496.00 253.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
login*,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(2750.00 273.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
logout,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
purchasecart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
remove,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
sellinventory,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.2274; norm(3995.00 398.00),0.0; norm(0.00 0.00),1.0E-4; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.7725; norm(4000.00 399.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
shoppingcart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
